ID,STATE,PROPERTYNAME,CITY,INCOME_REPORTED_PCT,MEDIAN_INC,UNITS_INC_0_5K_PCT,UNITS_INC_5K_10K_PCT,UNITS_INC_10K_15K_PCT,UNITS_INC_15_20K_PCT,UNITS_INC_GRT_20K_PCT
14951,MI,SOUTHTOWN SQUARE,GRAND RAPIDS,100,11348,25,-4,-4,-4,34.1
526,MI,SOUTHWEST HOUSING PARTNER,DETROIT,89.7,10200,28.8,-4,25,-4,-4
13286,MI,SOUTHWEST HOUSING PARTNERS II,DETROIT,92.5,22087,-4,-4,-4,-4,54.1
14909,MI,SPRING LAKE VILLAGE,PONTIAC,96.4,9660,32.5,22.5,13.8,11.3,20
34052,MI,SPRING MANOR,PORTAGE,99.1,21584,0,-4,-4,30.5,59
18905,MI,SPRINGBROOK TOWNHOMES,UNION TWP,95.8,26032.5,-4,-4,-4,-4,63
2054,MI,SPRINGBROOK TOWNHOMES PHASE II,UNION TWP,95.7,26685,-4,-4,-4,-4,66.7
37043,MI,SPRINGFIELD & SPRINGFIELD SENIOR CITIZEN,MANTON,93.6,14747.5,-4,-4,27.3,29.5,-4
11230,MI,SPRINGVIEW MANOR,EVART,95.8,11646,-4,-4,-4,-4,-4
25419,MI,SPRINGVIEW MANOR II,EVART,91.7,12168,-4,-4,-4,-4,-4
29518,MI,SPRINGVIEW TOWER,BATTLE CREEK,91.4,14269,-4,-4,34,20.8,23.3
24367,MI,SPRINGWELLS PARTNERS,DETROIT,81,9420,35.3,-4,-4,-4,-4
29524,MI,SPRINGWELLS PARTNERS II,DETROIT,82.8,16289,-4,-4,-4,-4,-4
29523,MI,SPRINGWELLS PARTNERS III,DETROIT,85,16835,-4,-4,-4,-4,-4
24322,MI,SPRINGWELLS PARTNERS IV,DETROIT,87.2,18840,-4,-4,-4,-4,46.3
36989,MI,SPRINGWELLS PARTNERS V,DETROIT,93.1,21264,-4,-4,-4,-4,51.9
2783,MI,SPRINGWELLS VILLAGE TOWNHOMES,DETROIT,95.7,18488,-4,-4,-4,-4,50
2002,MI,ST. ANTOINE GARDENS,DETROIT,92.6,10399.5,12.7,34.9,13.5,12.7,26.2
2738,MI,ST. AUBIN SQUARE,DETROIT,93.5,9552,-4,37.2,-4,-4,-4
18950,MI,ST. CLAIR LANDINGS,PORT HURON,98.9,19631.5,0,-4,-4,29.5,45.5
397,MI,ST. GEORGE TOWER,CLINTON TWP,99.5,15220.5,7.1,9.8,31,26.6,25.5
33903,MI,ST. IGNACE SENIOR HOUSING PROJECT,ST IGNACE,100,18160,0,-4,-4,-4,-4
8733,MI,ST. JOHN HOMES,DETROIT,86.4,20150,0,-4,-4,-4,-4
22434,MI,ST. PAUL / KINGSTON ARMS APARTMENTS,DETROIT,80.8,11565,-4,-4,-4,-4,-4
6370,MI,STADIUM DRIVE,KALAMAZOO,98.2,12594,9.3,27.8,21,14.8,27.2
28693,MI,STANTON PARK APARTMENTS,STANTON,100,11154,0,-4,-4,-4,-4
7429,MI,STONE LAKE MANOR APARTMENTS,CASSOPOLIS,95,17935,0,-4,-4,36.8,36.8
25056,MI,STONEBRIDGE APARTMENTS,ALLENDALE TWP,100,24257.5,-4,0,-4,-4,76.9
31365,MI,STONEBROOK III,GRAND RAPIDS,100,30740,-4,-4,-4,-4,75
17638,MI,STONEBROOK TOWNHOMES I & II,GRAND RAPIDS,100,29240,-4,-4,-4,-4,75.5
38144,MI,STONEY CREEK APARTMENTS (REED CITY),REED CITY,100,9612,25.5,31.9,23.4,-4,-4
18853,MI,STONEY CREEK VILLAGE (OWOSSO),OWOSSO,100,19591,-4,-4,-4,-4,47.2
19902,MI,STRATFORD PLACE (ADRIAN),ADRIAN,96.7,24063,0,0,-4,-4,81
36983,MI,STRATHMORE APARTMENTS,DETROIT,97.9,19020,-4,-4,-4,-4,44.7
30472,MI,STRAWBERRY LAKE APARTMENTS,NORWAY,96.9,10309,-4,-4,51.6,0,-4
24998,MI,STRONG HOUSING,YPSILANTI,100,12338,17.9,24.1,18.8,17.9,21.4
7012,MI,STUYVESANT APARTMENTS,GRAND RAPIDS,96.6,9420,29.8,34.5,19,-4,-4
37041,MI,SUFFOLK COURT,FLUSHING,98.3,23406,16.1,-4,10.2,-4,63.6
38139,MI,SUGAR MILL SENIOR CITIZEN APARTMENTS,CHARLOTTE,85.4,13658,-4,29.3,-4,-4,-4
25009,MI,SUMMER HAVEN,KENTWOOD,96.8,17492,-4,-4,25.6,22.2,35.6
13906,MI,SUMMER PLACE TOWNHOMES,LANSING,97.8,13904,17.4,21.2,12.1,11.4,37.9
8745,MI,SUMMIT PARK PLACE,KALAMAZOO,86.7,17063.5,-4,-4,-4,-4,-4
17797,MI,SUNFIELD PARK APARTMENTS,SUNFIELD,79.2,17118,0,-4,-4,-4,-4
8689,MI,SUNNYSIDE ESTATES,CADILLAC,97.9,24960,-4,-4,-4,-4,66
25007,MI,SUNRISE VILLAGE SENIOR APARTMENTS,SANDUSKY,100,15559.5,-4,-4,-4,-4,-4
7482,MI,SUNSHINE CANYON,STANTON,100,9420,-4,-4,-4,-4,-4
25054,MI,SWANHAVEN MANOR,THOMAS TOWNSHIP,87.5,22463,0,0,-4,-4,68.3
40678,MI,SWAYZE COURT APARTMENTS,FLINT,94.4,9420,-4,64.7,-4,-4,-4
