ID,STATE,PROPERTYNAME,CITY,INCOME_REPORTED_PCT,UNITS_INC_ILMT_IRES_RPTD_PCT,UNITS_I_IL_IR_0_PCT,UNITS_I_IL_IR_0_30_PCT,UNITS_I_IL_IR_30_40_PCT,UNITS_I_IL_IR_40_50_PCT,UNITS_I_IL_IR_50_60_PCT,UNITS_I_IL_IR_GT60_PCT
31728,NC,BLUE SPRINGS APTS,JACKSONVILLE,97.5,97.5,0,30.8,-4,-4,-4,-4
24758,NC,BOOKER PARK NORTH,RALEIGH,98.6,98.6,0,52.1,23.9,-4,-4,0
29160,NC,BORDEAUX APARTMENTS,GASTONIA,84.4,59.4,0,-4,-4,-4,-4,-4
30154,NC,BOULEVARD PHASE III,CHARLOTTE,54.7,15.3,0,-4,-4,-4,-4,-4
35479,NC,BOWMAN MANOR,GARNER,100,75,0,-4,36.1,50,-4,0
37788,NC,BRADBURY APARTMENTS,NEWTON,97.5,82.5,0,33.3,-4,-4,-4,-4
2428,NC,BRADFORD PLACE,FUQUAYVARINA,96.9,96.9,0,53.2,-4,21,-4,-4
26578,NC,BRAXTON MANOR,SILER CITY,96.9,56.3,0,-4,-4,-4,-4,0
8279,NC,BRECKENRIDGE COURT,GREENVILLE,100,100,0,50,-4,24.3,-4,-4
21314,NC,BRENNER CROSSING,SALISBURY,87.5,67.5,0,44.4,-4,-4,-4,-4
35535,NC,BRENNER CROSSING II,SALISBURY,87.8,63.3,0,28.1,-4,-4,21.1,-4
9008,NC,BRENTWOOD APTS,KENANSVILLE,100,100,0,54.2,-4,-4,-4,0
34170,NC,BRENTWOOD CROSSING,HIGH POINT,82,81.1,0,86.7,-4,-4,-4,0
17442,NC,BRIARWOOD APTS,JONESVILLE,100,100,0,61.1,-4,-4,-4,0
33563,NC,BRIDGEWOOD SQUARE CO-OP,BELHAVEN,-4,-4,0,-4,0,-4,-4,-4
22096,NC,BRIGHTON POINTE,RALEIGH,85,66.3,0,24.5,-4,28.3,-4,-4
19425,NC,BRIGHTON POINTE II,RALEIGH,83,65.9,0,53.4,19,-4,-4,-4
37515,NC,BRITISH WOODS APTS,ROANOKE RAPIDS,100,100,0,42.3,-4,-4,-4,0
26045,NC,BROAD RIVER TERRACE,BREVARD,90.3,90.3,0,-4,21.4,-4,-4,28.6
29996,NC,BROOKBERRY PARK APARTMENTS,WHITEVILLE,94,94,0,87.2,-4,-4,0,0
37793,NC,BROOKE POINTE APARTMENTS,CONCORD,93.4,70.8,0,29.3,18.7,20,16,16
1696,NC,BROOKE POINTE MANOR,CONCORD,97,75.8,0,34,24,24,-4,-4
8960,NC,BROOKHOLLOW APARTMENTS,SANFORD,96,94,0,61.7,-4,-4,0,-4
7953,NC,BROOKRIDGE,RALEIGH,100,30,0,-4,-4,-4,-4,-4
7954,NC,BROOKSIDE APTS,MAXTON,100,100,0,84.4,-4,-4,-4,0
37512,NC,BROOKWOOD APARTMENTS,MT OLIVE,95.4,95.4,0,77.4,-4,-4,-4,0
25947,NC,BROOKWOOD APTS,ROXBORO,95.6,95.6,0,81.4,-4,-4,0,0
31676,NC,BROWNSTONE COMMONS,EDEN,91.3,91.3,0,88.4,-4,-4,0,-4
7950,NC,BRUNSWICK HOUSE APARTMENTS,NEW BERN,94.7,94.7,0,62.9,23.6,-4,-4,-4
22040,NC,BRUNSWICK PLACE,WHITEVILLE,93.8,93.8,0,43.3,-4,-4,-4,-4
9688,NC,BRYSON CREEK APTS,BRYSON CITY,-4,-4,0,-4,0,-4,0,0
40636,NC,BUNCE GREEN APTS,FAYETTEVILLE,90,83.8,0,37.3,16.4,-4,-4,25.4
9729,NC,BUNCE MANOR APARTMENTS,FAYETTEVILLE,95.8,70.8,0,38.2,-4,-4,-4,-4
40524,NC,BUNN MANOR APTS,BUNN,95.8,95.8,0,-4,-4,0,0,0
29169,NC,BURNSIDE VILLAGE APTS,HOOKERTON,93.8,93.8,0,-4,-4,0,-4,0
24701,NC,CAITLIN STATION,SHELBY,73.7,73.7,0,67.9,-4,-4,0,-4
2422,NC,CALDWELL GARDENS,LENOIR,100,100,0,66,16.5,11.3,-4,-4
8332,NC,CALVARY TRACE,RALEIGH,95.7,75,0,44.9,15.9,18.8,20.3,0
9805,NC,CALVERT PLACE,DURHAM,93.3,24,0,-4,-4,-4,-4,-4
9728,NC,CAMBRIDGE CREEK APTS,MOCKSVILLE,96.4,96.4,0,70.4,-4,-4,-4,-4
25999,NC,CAMBRIDGE FARMS APARTMENTS,KINSTON,98.3,98.3,0,-4,22,28.8,-4,-4
12564,NC,CAMBRIDGE OAKS APARTMENTS,KINGS MOUNTAIN,98.2,82.1,0,-4,-4,-4,23.9,26.1
35482,NC,CAMBRIDGE VILLAGE,DURHAM,-4,0,0,0,0,0,0,0
15481,NC,CAMDEN POINTE APARTMENTS,MOCKSVILLE,86.7,73.3,0,31.8,-4,34.1,-4,0
40366,NC,CAMDEN SQUARE APARTMENTS,NEW BERN,88.2,88.2,0,34.3,25.4,-4,-4,16.4
35532,NC,CAMELLIA COURT APTS,MOREHEAD CITY,100,100,0,38.6,27.3,25,-4,-4
13853,NC,CAMERON GROVE,ROCKINGHAM,100,100,0,39.3,26.8,21.4,-4,-4
37459,NC,CANE CREEK VILLAGE,BAKERSVILLE,87.5,87.5,0,85.7,-4,0,0,-4
1647,NC,CANEBREAK APTS,WILMINGTON,96.9,71.9,0,-4,-4,-4,-4,0
29165,NC,CANNON PLACE,GRAHAM,94,94,0,46,19,-4,19,-4
17441,NC,CANTERBURY PLACE,REIDSVILLE,92.5,92.5,0,-4,0,-4,0,0
8961,NC,CAPE'S LANDING APARTMENTS,FAYETTEVILLE,94.8,69.8,0,20.9,-4,20.9,26.9,-4
20267,NC,CARDINAL CHASE,SILER CITY,91.7,45.8,0,54.5,-4,-4,-4,-4
26478,NC,CARDINAL POINTE,SHALLOTTE,46.4,46.4,0,-4,-4,-4,-4,0
5960,NC,CARDINAL POINTE III,SHALLOTTE,75.8,51.6,0,-4,-4,-4,-4,-4
40631,NC,CARDINAL POINTE PHASE II,SHALLOTTE,78.9,61.4,0,34.3,-4,34.3,-4,-4
2427,NC,CAREY CHAPEL VILLAGE,HENDERSON,98.1,98.1,0,-4,-4,20.8,28.3,28.3
34012,NC,CARLTON PLACE,RALEIGH,80,58.8,0,36.2,-4,-4,-4,-4
24711,NC,CARMEL RIDGE,HENDERSON,86.4,86.4,0,-4,-4,-4,-4,-4
6120,NC,CARMEL RIDGE APARTMENTS,ASHEVILLE,98.8,82.5,0,22.7,-4,-4,24.2,25.8
17600,NC,CAROLINA COVE,GREENVILLE,65.7,54.5,0,66.7,-4,-4,-4,-4
25941,NC,CAROLINA GARDENS APTS,KINGS MOUNTAIN,80,80,0,67.5,-4,-4,-4,-4
12659,NC,CAROLINA PINES APARTMENTS,MAXTON,87.5,78.1,0,60,-4,-4,-4,0
29168,NC,CAROLINA SPRING,CARRBORO,98.3,64.3,0,62.2,18.9,-4,-4,0
6122,NC,CAROLINA TERRACE APTS,RALEIGH,100,100,0,72,-4,-4,-4,-4
33560,NC,CAROLINE COURTYARD,LINCOLNTON,92.9,71.4,0,35,-4,-4,-4,-4
36626,NC,CAROUSEL PLACE,RALEIGH,94.5,-4,0,-4,0,-4,0,0
35427,NC,CARRIAGE COURT APTS,ROCKY MOUNT,97.9,97.9,0,-4,-4,31.9,-4,23.4
602,NC,CARRIAGE COURT II APTS,ROCKY MOUNT,100,100,0,34.4,-4,-4,-4,-4
