ID,STATE,PROPERTYNAME,CITY,UNITS_FRA_SRC_PCT,UNITS_FRA_SRC_PBRA_PCT,UNITS_FRA_SRC_S8_PCT,UNITS_FRA_SRC_PH_PCT,UNITS_FRA_SRC_HOME_PCT,UNITS_FRA_SRC_HCV_PCT,UNITS_FRA_SRC_PBV_PCT,UNITS_FRA_SRC_S521_PCT,UNITS_FRA_SRC_OTHER_PCT
21674,AL,COOSA BEND APARTMENTS,GADSDEN,100,-4,0,0,0,-4,0,0,0
17559,AL,COOSA VILLAGE APARTMENTS,SYLACAUGA,0,0,0,0,0,0,0,0,0
27460,AL,CORNERSTONE PLACE,ALEXANDER CITY,35.4,0,0,0,0,100,0,0,0
17558,AL,COTTAGE HILL PLACE,MOBILE,75,0,0,0,0,-4,0,0,-4
1873,AL,COTTAGE HILL POINTE APARTMENTS,MOBILE,29.7,0,0,0,0,-4,0,0,-4
9418,AL,COTTAGE PARK APARTMENTS,BAY MINETTE,18.7,0,0,0,0,-4,0,0,-4
29443,AL,COTTON RUN APARTMENTS,PHENIX CITY,19.8,0,0,0,0,0,0,0,100
29436,AL,COTTONWOOD APARTMENTS,ATHENS,25,0,0,0,0,0,0,0,100
11054,AL,COTTONWOOD ESTATES,JACKSON,10.4,0,0,0,0,0,0,0,-4
10997,AL,COTTONWOOD SENIOR APARTMENTS,MOBILE,17.5,0,0,0,0,0,0,0,100
10261,AL,COUNTRY CLUB COTTAGES,THOMASVILLE,0,0,0,0,0,0,0,0,0
5611,AL,COUNTRY VILLAGE,GREENVILLE,100,0,0,0,0,0,0,100,0
21679,AL,COUNTRYSIDE VILLAS,HEADLAND,25,0,0,0,0,0,0,0,-4
17513,AL,COUNTRYWOOD I & II APARTMENTS,CENTREVILLE,98.4,0,0,0,0,0,0,100,0
12155,AL,COURT MANOR APARTMENTS F/K/A PINE CREEK APTS,PRATTVILLE,0,0,0,0,0,0,0,0,0
33244,AL,COVENTRY GARDENS,GROVE HILL,3.1,0,0,0,0,0,0,0,-4
10421,AL,COVINGTON PARK,OPP,75,0,0,0,0,0,0,-4,-4
23451,AL,CRAWFORD PARK,SCOTTSBORO,65,0,0,0,0,0,0,0,100
11000,AL,CREEK RIDGE APARTMENTS,EUFAULA,87,0,0,0,0,0,0,0,100
23507,AL,CREEKSTONE APARTMENTS,RUSSELLVILLE,25,0,0,0,0,0,0,0,100
33772,AL,CREEKVIEW VILLAGE,FLORENCE,32.1,0,0,0,0,0,0,0,100
6561,AL,CREEKWOOD APARTMENTS,DEMOPOLIS,0,0,0,0,0,0,0,0,0
1184,AL,CREEKWOOD VILLAGE APARTMENTS,TUSCALOOSA,99.2,95.9,0,0,0,-4,0,0,-4
9576,AL,CRESTVIEW SENIOR COTTAGES,PRATTVILLE,0,0,0,0,0,0,0,0,0
24771,AL,CRESTWOOD APARTMENTS,HANCEVILLE,18.8,0,0,0,0,0,0,0,-4
41,AL,CROWN CHASE,PHENIX CITY,2.1,0,0,0,0,0,0,0,-4
1922,AL,CRYAR HOMES,ALBERTVILLE,62.5,0,0,0,0,-4,0,0,-4
12104,AL,CULLMAN VILLAGE APARTMENTS,CULLMAN,20.5,0,0,0,0,0,0,0,-4
