ID,STATE,PROPERTYNAME,CITY,HHSIZEATCERT_EQUAL_PCT,HOH_DOB_VALID_PCT,MBRS_DOB_VALID_PCT,UNITS_WATLEAST1_UNDR18_PCT,UNITS_WATLEAST1_ABOVE62_PCT,UNITS_WHOH_ABOVE62_PCT
27016,IA,WHISPERING PINES APARTMENTS,WILLIAMSBURG,100,100,100,-4,0,0
8782,IA,WHITE TAIL RUN,MAQUOKETA,100,100,100,0,70.8,70.8
7570,IA,WILLIAM B QUARTON PLACE,CEDAR RAPIDS,100,100,100,0,-4,-4
39201,IA,WILLIS AVENUE APARTMENTS,PERRY,100,100,98.7,55.9,-4,-4
18999,IA,WILLOW BEND I APARTMENTS,DES MOINES,100,100,100,51.7,-4,-4
39197,IA,WILLOW BEND II APARTMENTS,DES MOINES,100,100,100,62.5,0,0
5693,IA,WILLOWBROOK APTS,CHEROKEE,100,100,100,0,83.3,83.3
29727,IA,WINDFIELD WEST APTS,WAUKEE,-4,100,100,-4,-4,-4
5691,IA,WINDFIELD WEST II APARTMENTS,WAUKEE,100,100,100,47.8,-4,-4
10109,IA,WINDFIELD WEST III APARTMENTS,WAUKEE,100,100,100,-4,-4,-4
28883,IA,WINDSOR POINTE,AMES,100,100,100,42.9,11.2,-4
24511,IA,WINDSOR RIDGE,KNOXVILLE,100,100,100,0,78.3,78.3
35931,IA,WINNGATE VILLAGE APTS,FOREST CITY,100,100,100,-4,-4,-4
22571,IA,WOODBURY RIDGE,MOVILLE,100,100,100,0,-4,-4
338,IA,WOODLAND AVE BRICKSTONE APTS,DES MOINES,100,100,100,-4,-4,-4
2146,IA,WOODLAND HEIGHTS APTS,NEWTON,100,100,100,-4,-4,-4
22580,IA,WOODLAND WEST APTS,WEST DES MOINES,100,100,100,61,-4,-4
1474,IA,WOODRIDGE APTS,WASHINGTON,100,100,100,-4,-4,-4
13046,IA,YMCA SUPPORTIVE HOUSING,DES MOINES,100,100,100,0,26.1,26.1
19985,ID,12TH AND RIVER STREET HOUSING,BOISE,100,100,100,0,96.2,96.2
25140,ID,6TH STREET SENIOR,SANDPOINT,100,100,100,-4,80.6,80.6
36360,ID,ADARE MANOR,BOISE,100,100,100,33.3,16.7,15.8
