ID,STATE,PROPERTYNAME,CITY,HHSIZEATCERT_NOTREPORTED_PCT,HHSIZEATCERT_LT_PCT,HHSIZEATCERT_EQUAL_PCT,HHSIZEATCERT_GT_PCT
6284,AK,SUSITNA PLACE,WASILLA,0,0,100,0
28606,AK,SUSITNA SQUARE,ANCHORAGE,-4,0,77.8,-4
10257,AK,THE ADELAIDE,ANCHORAGE,100,0,0,0
5508,AK,THE BIRCHES II,WASILLA,0,0,100,0
32808,AK,TRADEWINDS APTS. ASSOC. LP,UNALASKA,0,0,100,0
10993,AK,TURNAGAIN PLACE LLC,ANCHORAGE,0,0,100,0
29392,AK,TYONEK TERRACE,ANCHORAGE,-4,-4,75.7,0
29393,AK,WEEKS FIELD ESTATES II,FAIRBANKS,-4,0,87.5,-4
28601,AK,WEEKSFIELD APARTMENTS,FAIRBANKS,0,0,-4,-4
1823,AK,WILLOW POINTE LIMITED PARTNERSHIP,PALMER,0,0,100,0
13815,AL,ADAMS CROSSINGS FORMERLY BROWNSTONE APARTMENTS,BOAZ,0,0,-4,-4
23459,AL,ADAMS RIDGE APARTMENTS,UNION SPRINGS,0,-4,81.3,-4
18705,AL,ADDISON WAY,SELMA,0,0,100,0
10423,AL,AHEPA 310 APARTMENTS,MOBILE,0,-4,97.9,-4
5613,AL,ALABASTER BAY APTS FORMERLY WIREGRASS POINT APTS,DOTHAN,0,-4,91.1,-4
44,AL,ALAMEDA TERRACE APARTMENTS,BIRMINGHAM,0,-4,90.9,-4
4522,AL,ALEX PLACE,LIVINGSTON,0,0,-4,-4
23503,AL,ALEXANDER TERRACE APARTMENTS,MOULTON,0,0,100,0
1869,AL,ALEXANDER TERRACE APARTMENTS II,MOULTON,0,0,-4,-4
21825,AL,ALEXANDER VILLAGE APARTMENTS,ST FLORIAN,0,0,100,0
21828,AL,ALFRED RADNEY APARTMENTS FORMERLY NORTHGATE APTS,ROANOKE,0,0,-4,-4
23452,AL,ALICEVILLE ESTATES,ALICEVILLE,0,0,-4,-4
20527,AL,ALISON POINTE APARTMENTS,FOLEY,0,-4,89.1,-4
28657,AL,AMBERWOOD,BIRMINGHAM CENTER POINT,0,-4,-4,0
29441,AL,AMBERWOOD APARTMENTS,TROY,0,-4,-4,0
