ID,STATE,PROPERTYNAME,UNITS_RNTASSTNCE_MSNG_PCT,UNITS_RNTASSTNCE_RPTD_0_PCT,UNITS_RNTASSTNCE_RPTD_GRT0_PCT
29444,AL,HAMILTON VILLAS,0,22.4,77.6
13762,AL,HAMPTON POINT APARTMENTS,0,53.3,46.7
28660,AL,HANCEVILLE MANOR APARTMENTS,0,0,100
49,AL,HANCEVILLE VILLAGE APARTMENTS,0,-4,-4
23450,AL,HARBOR POINTE APARTMENTS,0,-4,-4
18757,AL,HARBOR POINTE II,0,-4,-4
23501,AL,HARBOR RUN,0,-4,-4
21677,AL,HARBOR SQUARE APARTMENTS,0,-4,-4
6341,AL,HEATHERWOOD APARTMENTS,0,-4,-4
27506,AL,HEFLIN HILLS APARTMENTS,0,-4,-4
18700,AL,HEFLIN MANOR,0,-4,-4
31984,AL,HERITAGE GARDEN APARTMENTS,0,-4,-4
6337,AL,HERITAGE VIEW APARTMENTS,0,80,20
30219,AL,HERMITAGE APARTMENTS,0,0,100
36793,AL,HERON COVE APARTMENTS,0,61.6,38.4
1970,AL,HERON COVE II,0,81.8,18.2
4516,AL,HICKORY RUN II APARTMENTS,0,70,30
30217,AL,HICKORY TRACE APARTMENTS,0,57.1,42.9
24773,AL,HICKORY VILLAGE,0,-4,-4
4568,AL,HIDDEN POINTE APARTMENTS,0,-4,-4
6296,AL,HIDDEN VALLEY APARTMENTS,0,0,100
6287,AL,HIGH FOREST APARTMENTS,0,55,45
36843,AL,HIGH FOREST II APARTMENTS,0,50,50
24819,AL,HIGHGATE APARTMENTS FKA CHAPELRIDGE APARTMENTS,0,75.5,24.5
12054,AL,HIGHLAND GREEN,0,-4,-4
1928,AL,HIGHLAND MANOR,0,0,100
16931,AL,HIGHLAND RIDGE APARTMENTS,0,-4,-4
34,AL,HIGHLAND VIEW APARTMENTS,0,57.5,42.5
13769,AL,HIGHRIDGE APARTMENTS,0,-4,-4
9421,AL,HILL CREEK APARTMENTS,0,-4,-4
16940,AL,HILLCREST APARTMENTS,0,-4,-4
22245,AL,HILLCREST ESTATES F/K/A HILLCREST APTS.,0,100,0
22247,AL,HILLCROSS HAVEN,0,0,100
36844,AL,HILLSIDE HAVEN,0,-4,-4
9417,AL,HOLLY PARK ESTATES,0,-4,-4
1179,AL,HOPE VI FAMILY,0,100,0
10259,AL,HOUND'S RUN I AND II APARTMENTS,0,61.5,38.5
13766,AL,HULETT TOWNHOUSE APARTMENTS,0,-4,-4
36846,AL,HUMMINGBIRD LANDING,0,100,0
31988,AL,HUNTER POINTE APARTMENTS,0,100,0
5511,AL,HUNTER RIDGE APARTMENTS,0,66.5,33.5
18704,AL,"HUNTER RIDGE APARTMENTS, PHASE II",0,62.5,37.5
13760,AL,HUNTSVILLE SUMMIT,0,0,100
17515,AL,HURRICANE CREEK TRACE,0,-4,-4
24769,AL,INDIAN HILLS ESTATES,0,-4,-4
6515,AL,INGLEWOOD,0,-4,-4
15634,AL,IVY POINTE II APARTMENTS,0,70.8,29.2
15638,AL,IVY VILLAGE,0,0,100
21826,AL,JACKSON APARTMENTS,0,-4,-4
33718,AL,JACKSON SQUARE APARTMENTS,0,65.6,34.4
6562,AL,JACKSON-JOHNSON TOWNHOMES F/K/A WOODLAND TOWNHOMES,0,66.7,33.3
18711,AL,JANMAR APARTMENTS,0,0,100
31992,AL,JASMINE TRAILS APARTMENTS,0,-4,-4
20522,AL,JOHN ENGLAND MANOR,0,68.6,31.4
27459,AL,JOHNSON APARTMENTS,0,-4,-4
1866,AL,JORDAN'S GATE,0,52.1,47.9
21824,AL,JUBILEE,0,-4,-4
36799,AL,KELLER COURT APARTMENTS,0,-4,-4
13812,AL,KENDRICK'S WAY,0,100,0
24776,AL,KING WILLIAMS APARTMENTS F/K/A THE JEFFERSON DAVIS,0,0,100
9424,AL,KINGS FOREST APARTMENTS,0,61.3,38.7
16932,AL,LAKE FOREST ESTATES,0,-4,-4
27510,AL,LAKE FOREST II APARTMENTS,0,-4,-4
22248,AL,LAKERIDGE APARTMENTS,0,-4,-4
1925,AL,LAKERIDGE APARTMENTS 91016,0,100,0
12152,AL,LAKESHORE APARTMENTS,0,0,100
38622,AL,LAKESHORE CROSSING APARTMENTS,0,56,44
24720,AL,LAKESIDE VILLAGE APARTMENTS,0,62.5,37.5
6570,AL,LAKEVIEW ESTATES,0,-4,-4
35083,AL,LAKEWOOD VILLAGE,0,-4,-4
1187,AL,LAMAR HEIGHTS APARTMENTS,0,0,100
23513,AL,LEGACY HILL,0,100,0
33248,AL,LEGACY SENIOR VILLAGE FKA DEERFIELD PLACE,0,-4,-4
6568,AL,LEIGHTON MANOR,0,-4,-4
35127,AL,LENOX PARK,0,80,20
22252,AL,LEVEL LINE APARTMENTS,0,59.4,40.6
33093,AL,LIBERTY SQUARE APARTMENTS,0,35.9,64.1
32815,AL,LIVEOAK VILLAGE,0,0,100
1874,AL,LIVINGSTON OAKS APARTMENTS,0,44.8,55.2
38623,AL,LOXLEY STATION DEVELOPMENT,0,66,34
35030,AL,MAGNOLIA COURT APARTMENTS FKA WESTCHESTER,0,32.6,67.4
38674,AL,MAGNOLIA GARDENS,0,13,87
6290,AL,MAGNOLIA GARDENS,0,13,87
12052,AL,MAGNOLIA GARDENS II,0,66.7,33.3
28661,AL,MAGNOLIA SENIOR VILLAGE,0,55.6,44.4
23456,AL,MAGNOLIA VILLAGE,0,0,100
5510,AL,MALLARD POINTE APARTMENTS,0,55.4,44.6
40495,AL,MAYBERRY PARK,0,41.7,58.3
22253,AL,MAYFIELD WOODS,0,60.4,39.6
30225,AL,MCCAY SENIOR GARDENS,0,72.5,27.5
24724,AL,MCCAY'S LANDING,0,-4,-4
27456,AL,MCCAY'S LANDING II,0,-4,-4
23508,AL,MCCONNELL HILLS APARTMENTS,0,0,100
33,AL,MCKENZIE COURT REDEVELOPMENT PHASE I,0,89.3,10.7
10995,AL,MCKENZIE COURT REDEVELOPMENT PHASE II,0,91,9
1298,AL,MEADOW MANOR,0,-4,-4
15637,AL,MEADOW OAKS APARTMENTS,0,80.4,19.6
28652,AL,MEADOW PARK APARTMENTS F/K/A COLONIAL PARK APTS,0,-4,-4
17505,AL,MEADOWCREST APARTMENTS,0,-4,-4
20526,AL,MEADOWLANDS APARTMENTS,0,-4,-4
38,AL,MEADOWOOD APARTMENTS,0,100,0
1924,AL,MEADOWS II APARTMENTS,0,0,100
16939,AL,MEADOWVIEW APARTMENTS,0,-4,-4
35079,AL,MEGAN MANOR,0,100,0
35,AL,MELODIE MEADOW APARTMENTS,0,-4,-4
1872,AL,MIDWAY MANOR APARTMENTS,0,100,0
27454,AL,MILL RUN,0,40,60
13761,AL,MIRANDA VILLAS,0,-4,-4
32809,AL,MIRANDA VILLAS II,0,-4,-4
17514,AL,MOCKINGBIRD POINTE,0,100,0
22251,AL,MOCKINGBIRD POINTE II,0,100,0
33717,AL,MONTCLAIR,0,-4,-4
30228,AL,MORGAN TRACE APARTMENTS F/K/A OAKWOOD APTS.,0,38,62
5567,AL,MORNINGSIDE APARTMENTS,0,0,100
16984,AL,MOUNTAIN LAKES,0,30.2,69.8
33239,AL,MOUNTAIN OAK APARTMENTS,0,-4,-4
11047,AL,MOUNTAIN RIDGE APARTMENTS,0,76,24
