ID,STATE,PROPERTYNAME,CITY,HH_RACE_WHITE_PCT,HH_RACE_BLACK_PCT,HH_RACE_AMINDALNAT_PCT,HH_RACE_ASIAN_PCT,HH_RACE_HAWAIIANPI_PCT,HH_RACE_OTHER_PCT,HH_RACE_HISPANIC_PCT,HH_RACE_NR_PCT
101,CA,WOODLANDS NEWELL,EAST PALO ALTO,-4,-4,0,0,0,-4,68.9,-4
102,CA,META STREET APARTMENTS,OXNARD,0,0,0,0,0,0,100,0
104,CA,MARTIN LUTHER KING SQUARE,FRESNO,-4,48.9,-4,0,0,0,20,26.7
105,CA,MINNA PARK FAMILY APARTMENTS,SAN FRANCISCO,-4,-4,0,0,0,0,-4,64
106,CA,EAGLE FAMILY HOUSING,ALAMEDA,-4,-4,0,0,0,-4,-4,-4
107,CA,LOS ADOBES DE MARIA II,SANTA MARIA,0,0,0,0,0,0,100,0
108,CA,CROSSINGS AT MORGAN HILL,MORGAN HILL,-4,-4,0,0,0,0,75,-4
109,CA,BELVEDERE PLACE APARTMENTS,SAN RAFAEL,0,0,0,0,0,0,100,0
110,CA,WILLOW CREEK APARTMENTS,WILLOW CREEK,-4,-4,-4,0,0,-4,-4,-4
111,CA,THE SAVANNAH AT SOUTHPORT,WEST SACRAMENTO,-4,-4,0,0,0,0,-4,-4
112,CA,MOSAIC GARDENS AT HUNTINGTON PARK,HUNTINGTON PARK,-4,-4,-4,0,0,0,65.2,0
113,CA,LOMA LINDA TERRACE,LOMA LINDA,-4,-4,0,0,0,-4,-4,35.5
114,CA,PARK SIERRA AT IRON HORSE TRAIL,DUBLIN,21.8,-4,0,0,0,-4,-4,60
115,CA,BAYVIEW COURTYARD APTS,ARCATA,86.2,0,0,0,0,0,-4,-4
116,CA,FRESNO 2007 PORTFOLIO,SELMA,12.5,-4,0,0,0,-4,45.2,38.7
117,CA,PARKVIEW ON THE PARK,LOS ANGELES,17.1,47.1,-4,0,0,0,24.3,-4
118,CA,WILLOW GLEN,SACRAMENTO,-4,44.8,0,0,0,14.2,-4,26.1
119,CA,636 EL CAMINO A,SOUTH SAN FRANCISCO,-4,-4,-4,0,0,-4,29.5,42.6
120,CA,LENZEN GARDENS,SAN JOSE,12.9,-4,0,0,0,-4,-4,77.4
121,CA,VILLA ESPERANZA,CALIPATRIA,-4,-4,0,0,0,0,72.8,19.9
122,CA,CREEKVIEW MANOR FOLSOM SR,FOLSOM,72.1,-4,-4,0,0,-4,-4,15.4
123,CA,AVALON TERRACE NICOLET,LOS ANGELES,-4,40.5,-4,0,0,0,35.1,-4
124,CA,HOLIDAY MANOR APARTMENTS,OXNARD,-4,-4,0,0,0,-4,65.4,32.5
125,CA,CROCKER OAKS APARTMENTS,ROSEVILLE,61,-4,0,0,0,-4,14.4,19.5
126,CA,CREEKSIDE APARTMENTS,CATHEDRAL CITY,10.8,5.6,-4,0,0,-4,39.8,43.2
127,CA,LORENZO CREEK APARTMENTS,CASTRO VALLEY,-4,55.6,-4,0,0,0,-4,-4
128,CA,LINCOLN CREEK APARTMENTS,DIXON,23.9,-4,0,0,0,-4,-4,50
129,CA,TALMADGE SENIOR VILLAGE,SAN DIEGO,16.9,19.1,-4,0,0,-4,12.4,44.9
130,CA,ORANGE GROVE GARDENS,PASADENA,0,58.1,0,0,0,0,-4,-4
131,CA,COLUMBIA PLACE,LOS ANGELES,0,-4,0,0,0,0,79.1,-4
132,CA,JASMINE SQUARE APARTMENTS,MORGAN HILL,-4,-4,0,0,0,0,73.2,-4
133,CA,THE VILLAGE AT KINGS CANYON,FRESNO,-4,36.2,0,0,0,-4,36.2,-4
134,CA,CARRILLO PLACE,SANTA ROSA,28.4,-4,0,0,0,-4,44.8,20.9
135,CA,LITTLE LAKE VILLAGE APARTMENTS,SANTA FE SPRINGS,12.8,-4,0,0,0,-4,52.5,29.8
136,CA,COTTONWOOD PLACE III,MORENO VALLEY,-4,33.3,-4,0,0,-4,50.9,-4
